Date,Amex,Arca,Bats-Y,Bats-Z,Boston,CHX,Edge-A,Edge-X,NSX,NYSE,Nasdaq,Phlx,MIAX,MEMX
20120103,,10.630516998542683,5.594710883549275,15.756572163118557,4.75502023159214,,7.300268141759031,8.061980877357867,,,10.96359285655853,1.3549540867089247,,
20120104,,11.426772372788223,5.346704632195797,14.672138296260801,4.3738901935543435,,7.65631462297777,8.843551288289166,,,11.056383245367156,1.7900368356428713,,
20120105,,12.922238862259317,6.5205156767330905,15.422600661853545,5.218303195448975,,7.505081692331695,8.076859546021623,,,11.060354412186669,1.5197731308163909,,
20120106,,10.924960205161254,5.669002021265933,15.263836466926206,5.095967886836054,,7.4569621959162005,8.492707824805919,,,11.106852203775777,1.6569710102986848,,
20120109,,11.409816502634808,5.946655953365747,16.698531925108632,5.007071926866039,,8.098320838999573,8.793490819987271,,,10.96302493488209,1.742199592415332,,
20120110,,11.761590660172205,5.843602896377623,16.499729656909913,5.177674611075519,,8.103356954479954,10.131545825681485,,,11.530025164741787,1.405136911851783,,
20120111,,11.503948451315159,5.488308125469793,15.909669718690774,5.58202014640947,,7.938771645891347,9.039805197613212,,,10.896305427916873,1.210422382856564,,
20120112,,10.694642850210263,6.94754137046729,15.519590748795151,4.970890388763082,,8.233942338395691,9.427717554007785,,,10.8675087353964,1.7363746156188482,,
20120113,,10.0139944285737,5.484821625192066,14.801495067424879,5.152509839845303,,7.802526845054016,8.823362810091485,,,10.270244564836327,1.3554539900417804,,
20120117,,11.183463433251037,5.259623177349667,16.28271601062091,5.626207206892869,,8.46706326866801,8.736242092521591,,,10.732309358226646,1.587797063009014,,
20120118,,10.920410092011387,5.794364158265761,15.02555122731069,6.700557744519597,,8.563999647150826,8.85181851650327,,,10.538798100939351,1.6747537769968242,,
20120119,,11.066727515813502,5.769847834386963,16.222619130286734,5.474987884353185,,8.157139738705625,8.603506604703286,,,11.050377139733667,1.6287755503794599,,
20120120,,10.842601650735629,6.2284765016074735,16.0871641514142,,,8.339648881219768,9.16879209007341,,,,,,
20120123,,10.237611611037519,5.768152572281654,15.401475030605944,6.76283040027042,,8.338442499959713,8.112407881101026,,,10.99871684614621,1.4104675611263713,,
20120124,,10.437964442754037,6.3073386170777805,15.44216238721099,6.698812504021099,,8.287690153622737,8.921505835830581,,,10.71821083287561,1.599935534420659,,
20120125,,,6.350778947047678,15.914637063245236,6.695718614799388,,8.89145389113949,9.134539087844296,,,10.936402305446183,1.2969082018764884,,
20120126,,10.828991880083622,4.859216541194281,16.226089315599033,6.186822027090707,,9.913045296454104,10.313143878120274,,,11.220018824488141,2.298925980228329,,
20120127,,11.400132404843752,5.845555772116421,15.104244814960316,6.169464442927581,,9.056074516455638,9.565666491390562,,,10.535561789326715,2.222710561806142,,
20120130,,9.437644552546,7.774824302802901,14.858793646448332,6.418129692523224,,7.867307787577225,8.466507509045611,,,9.550172910109328,1.4708981380562245,,
20120131,,9.650423717851742,8.0046628883001,14.39816121916182,6.8048455915642805,,7.896534038112112,9.070440254942408,,,10.799597465574772,2.2184350076828965,,
20120201,,10.960556189688468,8.224839848720197,16.710255848127698,5.785341489773647,,8.496332264038417,8.933861555706278,,,10.664355192384463,2.6011241225398964,,
20120202,,11.346658750855012,10.072959851075549,16.590389109727145,5.828177162578479,,9.403740783897687,9.900854780779445,,,11.503551321220979,1.8915281826089447,,
20120203,,10.709408355863015,8.090452679691348,16.915389695945436,5.539364512520233,,9.440540935158133,8.931545549830611,,,11.102486509819794,1.6620288369801477,,
20120206,,10.911581456614032,9.16116733108152,17.17392511912496,6.829043824717346,,9.50469700234108,8.563930745695897,,,10.957071431870327,1.6745641953765749,,
20120207,,10.433391035077552,8.351515822453921,16.399833076045788,5.6442668523420885,,8.62395397141072,8.954111483300116,,,10.718524832964743,1.1553168279675394,,
20120208,,11.147713064486233,8.38471972163316,17.041432868796207,5.325400371203251,,8.90870185465481,8.861796177617862,,,10.836019303957606,1.531244106134209,,
20120209,,11.64118615817966,9.466845230947316,17.16121020904467,6.592788194089007,,9.758759646223773,9.376734431855498,,,10.769398530253586,1.824066147176394,,
20120210,,10.434648168034373,7.609211199400813,16.627479590178122,6.205158592765124,,9.588693004821584,10.11087929464493,,,10.786709390222555,1.879099741019252,,
20120213,,9.902450753427699,8.500986584314091,16.33974239729539,6.10465345195469,,9.406682789850258,8.659823724735542,,,10.18376718438578,2.532468123911932,,
20120214,,10.777612278754118,8.449860129273151,17.466374640323217,,,9.486054115588878,9.09796570869827,,,10.345985475108847,2.3788962016345736,,
20120215,,9.635462677226412,8.378550213715418,15.710492936972623,7.456789178122495,,8.568082466790838,9.039007248741937,,,10.10534137029363,2.2969166966955163,,
20120216,,10.329762146436869,6.242738049139671,17.602441883849554,7.182755224421203,,8.579798963485352,9.14987601401384,,,11.126580332868576,4.68646726027848,,
20120217,,10.981049081585494,7.069576880909277,17.410786389476005,8.37671079668385,,8.909172113028914,9.482582851990827,,,11.1775897741042,2.961772252968592,,
20120221,,10.103392784598286,6.725293566491141,16.62483909140016,9.120804870491385,,7.872807316760619,8.204432237840457,,,10.726667345248378,3.3528820836335704,,
20120222,,9.695560502028437,6.916457108868926,16.353822261130787,8.372637602570604,,8.397727156960675,7.950665884091169,,,10.198683721409,3.9291017121673244,,
20120223,,9.289842369475355,7.680098623240516,15.926239549610221,9.05701383211219,,8.809196119552087,8.782711393027398,,,10.95906268173114,3.479593786307419,,
