Date,ETP Cancel-Trade Ratio,ETP Trade-Order Volume,ETP Hidden Rate,ETP Hidden Volume,ETP Oddlot Rate,ETP Oddlot Volume,Stock Cancel-Trade Ratio,Stock Trade-Order Volume,Stock Hidden Rate,Stock Hidden Volume,Stock Oddlot Rate,Stock Oddlot Volume
20120103,80.63023886889395,0.23435769910504056,7.616960872007773,8.457231902131273,10.637882712540298,1.5270724524108585,22.621883369559924,2.803816974015075,9.381849557384303,10.277265576687912,18.062543885462805,4.825442061206652
20120104,100.08897605454246,0.1743598847758584,7.111523380287481,8.250389925904056,11.382184919067656,1.7906967247412522,22.19894509802978,2.8915821209845545,9.327850984989993,10.422773322208498,18.896018019033892,4.799156808552687
20120105,103.22674032217651,0.1691099494962787,6.653110186417079,7.534320334233311,11.147624183213855,1.6723207761168315,22.12733739976883,2.847851024119703,9.304217117565587,10.814698023724425,18.561684700667936,4.451583188337352
20120106,102.72181556674171,0.1708242987170512,6.784505850672548,8.222241827379534,10.958034858801419,1.6461778680733214,23.99068951928768,2.597076479551032,9.190758993086535,10.440595631615727,19.585495698272204,4.935336448077384
20120109,113.3373013376424,0.1587245416580776,6.361046150086856,7.352851917933718,11.899945393169181,1.8436547902367644,24.238579205994732,2.7608837774524115,9.358390658030636,10.821316863941615,19.698861562990476,5.059352199850483
20120110,96.92004740284328,0.18842679782282798,6.826684715777776,7.909831642721732,12.43717959453514,1.9755931466608387,21.115130331005656,3.181613871486479,9.650991919131622,11.201170890430904,19.905777363392872,5.041885561784511
20120111,105.69619384683982,0.16901677100989118,6.385575972025336,7.189706075632413,12.443748603503614,1.9310125954584485,20.765340164790906,3.1344851430680847,9.325396742382816,10.692305964619901,19.28282341616108,4.789447686948126
20120112,109.8059150346041,0.17625302712584387,6.272310555794424,7.7619121640340705,11.443322179915068,1.7836180098349927,22.786564355555416,3.0086319366540395,9.41206655167313,10.599611090498103,19.282956984177233,4.82904506861955
20120113,113.68969666088948,0.15976365576794824,5.940902653429539,6.706322743113002,11.078675616762967,1.684119711258454,24.194858180682694,2.7893547122897875,8.952982485503277,10.005565861490282,19.221866848387364,4.842558165642898
20120117,100.40791363542598,0.18742900058493064,6.956950642969115,7.666499189179031,12.03334506228895,1.790730464664978,21.26918106682679,3.059931749735577,9.599009217941958,10.641612436494473,18.828543931169907,4.666993346842661
20120118,100.91382106810349,0.19391193215808236,6.573099073128778,7.715680656514026,11.209882537083065,1.6296712275150933,21.411965097290256,3.1531404501244826,9.33638507633024,10.459346816569093,17.268440981542447,4.305232077147918
20120119,93.10392608376569,0.20515892465417085,6.128477636924243,7.426636436098437,11.76005545746785,1.7767512466530537,19.704996172950633,3.4570761207435345,9.576853255814266,10.711504778906617,17.469898262961745,4.297934542848575
20120120,119.33881599525283,0.17090876647948644,7.153635584673597,9.080325712140208,10.108913786000027,1.3977283472924849,22.263101470309532,3.1023444607497077,10.11647791092531,11.279787820349716,15.508943610663842,3.7627899326262666
20120123,108.87398837063209,0.19574912881908393,6.429847369152293,7.054404271820404,9.171906183326895,1.3574590164499705,23.21500469353382,2.7964929984618316,9.283998046319718,10.354919400066168,17.385585596285058,4.405083529406861
20120124,120.7288872527198,0.16714649853335634,6.120512969316418,6.724904190742668,10.871856339276661,1.6319754764924859,22.91927761131336,2.7416702861760367,9.288031146266428,10.483514878225696,18.49356883955258,4.760642376128239
20120125,93.07093420424664,0.2696153551312892,5.7926152336545655,6.532680716125616,11.684882474838096,1.7228195578127594,23.028908796857966,2.905340698050087,9.41017518383521,10.804610909084705,20.130937625896273,5.140495377378037
20120126,95.91972988845531,0.2060033235203586,6.1134264400402385,7.480290443412664,10.06511550805859,1.5204318950242444,21.39171328669723,3.0321732660413603,9.634064969775311,11.087946405262246,17.677268222896945,4.432467343496219
20120127,114.09199494795833,0.16455657825996767,5.817565420065685,7.048384605496513,11.601216459595332,1.5849786319624086,23.52114147667494,2.6782785062691836,9.37404561164461,10.647541359404,18.78348378890085,4.624676494806916
20120130,105.32102861551037,0.1961328691022806,6.3680220277075525,7.43512096235764,10.824650706975362,1.6093891382463872,23.26194435143521,2.6824122690144554,8.94084211982852,9.76503304706501,18.458317624694324,4.783634309125229
20120131,111.65148144754275,0.17896771153787042,6.158569819258408,7.192034605402568,10.814396474115723,1.5662476002141497,23.035723618112026,2.8373364640844594,9.273697939532054,10.276902623085732,18.89138010471564,4.850742589327009
20120201,95.8002297671382,0.21670990464561257,6.680553892812961,7.3061758230632385,10.36013676821366,1.5155273431665746,18.613220335083554,3.320405870418207,9.812616887673931,10.824503593036555,19.239429764845767,4.927924317666432
20120202,99.63563296664739,0.20622385362382833,6.853370129689597,7.849363986478787,10.48828958354901,1.570561454818186,18.826757924210995,3.277756589620838,10.19738617429017,11.3805841289208,18.988252082814302,4.808865745263132
20120203,86.1548579729231,0.21880757469302523,6.906094553094706,7.6158590326993325,10.700538411132829,1.511904772633442,17.780290210758043,3.5518451531725947,10.026365991657261,10.943830209872784,17.856688691255698,4.436467406176978
20120206,112.95545315801449,0.1517990428425961,6.621835034986848,7.139086988369401,10.711351101121679,1.6669858566986029,21.04430878088223,3.0577595302630165,9.962433894243608,11.046799844651614,17.972824988232283,4.5416756718475435
20120207,98.93037507562909,0.17857636399364368,6.20975206355423,6.8856437425293855,9.822072742397419,1.456644079415129,20.717876004529472,3.0503102998702443,9.566734730612591,10.594476844130423,17.984872630438776,4.467831542486632
