Date,Amex,Arca,Bats-Y,Bats-Z,Boston,CHX,Edge-A,Edge-X,NSX,NYSE,Nasdaq,Phlx,MIAX,MEMX
20120103,,1.0113739167446287,1.483471574006091,2.0159615961746895,1.167573510772893,0.2608992713274942,1.1761771230886373,1.6366110733720736,0.6213349541351104,,1.8962717949149046,0.596658209326971,,
20120104,,1.1538906382017657,1.6588752060125151,2.2202666390028587,1.467418705013946,0.26575951079952564,1.4187767405436253,1.8776269237431398,0.5902119818950683,,2.3884887423195633,0.6810404607798002,,
20120105,,1.0384658948564234,1.5028464823418015,2.164557686796792,1.4284111568401026,0.35851506307518216,1.497727609465318,1.6053495434291312,0.5816984630951351,,2.2181085299319205,0.6074481328088114,,
20120106,,1.0576116560482274,1.3334722563051806,2.063812800369086,1.838247947146702,0.349847366719675,1.2174977786347445,1.3694830631331645,0.4623629863717228,,2.243269499214396,0.586772626197808,,
20120109,,1.1675254377806343,1.362817683254833,2.3992250798093235,1.6930778444632426,0.46359358155831193,1.3948491706795028,1.5237707901536863,0.515965583782363,,2.5089777041399297,0.6736488886548571,,
20120110,,1.2608404352216536,1.3745756662462136,2.631934870777741,1.510270997327628,0.41938018658291193,1.3119867036658743,1.8435979661276918,0.4868454374622468,,2.706709326842855,0.7103448338559714,,
20120111,,1.26635829712423,1.458823338099583,2.454834113344483,1.5132661560802285,0.3590434156053924,1.4582251478963977,1.768225312818964,0.5178992882273612,,2.637020617990131,0.6191210616129239,,
20120112,,1.1683134328584563,1.203568561001171,2.3670664866261832,1.2276342890881475,0.34934663249870784,1.2680569547298814,1.527257984376454,0.4179160679814815,,2.468154650719769,0.5449126327750795,,
20120113,,1.0948997561232408,1.3005251407704932,2.2632487061460274,1.2888977412923575,0.326177951103994,1.2804956304030752,1.5692786969089978,0.55221478106558,,2.197489623095118,0.5704336000319448,,
20120117,,1.174861312553543,1.3715837805384092,2.385541251322772,1.2990948567641019,0.38706230520250445,1.428514318295496,1.76167174283714,0.6172498091835271,,2.3146352263949517,0.6122797335331653,,
20120118,,0.9987228197615996,1.269472344472591,2.1875602807889125,1.1842299942812307,0.3158008052880368,1.2546197244964308,1.5833658254439322,0.5190038910926696,,2.1867101829904034,0.5528260524165478,,
20120119,,1.0081192662158682,1.3284106987162605,2.4233101830960995,1.448869756456919,0.40189653887388727,1.1745839100334032,1.6760284015773013,0.5665097130359121,,2.5393955831323267,0.593482594548154,,
20120120,,0.9302122801376126,1.1905854337865551,2.121845714442252,,0.41261299061414,1.098678594320145,1.6292710977555407,0.5267558949104488,,,,,
20120123,,0.8404016857977058,1.2267101513480334,1.7334230948787295,1.3454668383846018,0.3973147931770279,1.0614310332880414,1.4460958601517533,0.48976607319427,,1.7872110853048064,0.5554521757867782,,
20120124,,1.0959932616821082,1.445863881849993,2.1035842132876006,1.4861201821674894,0.35871589616449456,1.17771409301886,1.6115720475233464,0.5653409651077306,,2.0285965459464936,0.7115504279756933,,
20120125,,,1.1764427575653646,1.9641954195342255,1.2369675530408397,0.36246231600835926,1.127188725056724,1.4869272534568536,0.5573323758077371,,1.9877269786109077,0.7013797132601501,,
20120126,,0.9295363092321519,1.3023506793934525,2.0401722820265293,1.3303075310201278,0.2953180729721881,1.0878573063972172,1.6395595807326786,0.44741676447405215,,1.9374279773001517,0.7031349955274321,,
20120127,,0.9387098885473053,1.2587580873742035,2.1549920400878095,1.345004642962571,0.4878335121848315,1.027131663059147,1.4438671810013457,0.42354107449876727,,2.1472978011491737,0.6743376677743921,,
20120130,,0.9772438645616962,1.441209138841215,2.1116727822526955,1.421078114057904,,1.2378829646544685,1.3728887352197088,0.459485561118434,,2.122681690957721,0.6161460750945894,,
20120131,,0.9217489648372231,1.2983265682252505,2.1251754023216023,1.2617051861516342,0.5813133192621233,1.177992205350833,1.326246541674725,0.4007258362678814,,2.1393938522857545,0.6088290689562266,,
20120201,,0.8895206169427473,1.3949506363568382,1.9405338943218755,1.3248112269040375,0.379153762978273,1.1784073001919286,1.4425369196056017,0.47186389280216473,,2.0341419914001544,0.5622012550816174,,
20120202,,0.9662228112750221,1.6260944278447806,2.09658699747978,1.352822843044467,0.38724109593125167,1.282317468538723,1.392891054615614,0.4253443105654182,,2.0259749423949756,0.5448578745113385,,
20120203,,0.8792203631759637,1.3487005871747961,2.0574060306029076,1.2993357254844853,0.31123416887893446,1.2470156387980225,1.3893551755072584,0.41970780437286087,,2.036227904166035,0.4720517153158979,,
20120206,,1.0016191600363415,1.6217281983639016,2.256351242647267,1.765037896124006,0.5322139582363868,1.4921269767191037,1.5006359854754499,0.5415787506687527,,2.046185363219591,0.6531450615669162,,
20120207,,0.8785576426645456,1.5390880965592098,2.176044255350026,1.3884189632351829,0.41788176062859905,1.245864868928876,1.3076511870116814,0.39864854279701517,,1.6463906155545356,0.6039296344257068,,
20120208,,0.8030623959711807,1.5903732975318958,1.9510629329724702,1.448003198559487,0.313005477107937,1.2857842277391103,1.3310738368971895,0.43038927103778757,,1.6997772369415853,0.556958818385348,,
20120209,,0.8342692112472156,1.687585923449177,2.0110063189709653,1.3884837976094477,0.37112633084798957,1.2401676046653527,1.5323726321037212,0.4719458607991255,,1.7269179579898293,0.5661551867747435,,
20120210,,0.9834378993360711,1.5614768402601484,2.1933189973222187,1.3664769699062882,0.5265529897649543,1.4559719864582463,1.5458764376615137,0.5694719863743954,,1.8681683195602579,0.5338104557716603,,
