Date,Amex,Arca,Bats-Y,Bats-Z,Boston,CHX,Edge-A,Edge-X,NSX,NYSE,Nasdaq,Phlx,MIAX,MEMX
20120103,,10.087478872596044,10.678647628426063,7.618328808707232,6.011391814588397,,8.920414895641693,5.78414415292293,,,6.157073142889757,3.684770689543959,,
20120104,,10.015798990296824,10.307124058239486,7.097498411284749,5.572802174752068,,6.753638905723369,5.402639375168327,,,5.439622136482631,4.0614780902550685,,
20120105,,8.690834226365379,10.918266145499096,6.536447704931818,5.884426732066217,,6.3707312223492565,5.222373862062268,,,5.306151945611772,4.915735383951993,,
20120106,,9.357640830630428,10.537181377712239,5.909114799592142,6.368677056596281,,7.279161440602043,5.593259607940643,,,5.4886853201929755,4.674268056560599,,
20120109,,8.62587323911189,11.428886560414714,5.7942198814081545,6.056382641748495,,6.13777342474698,5.417743910736155,,,4.848162554352759,4.670669455126043,,
20120110,,9.353887856450935,9.043066397684413,7.051971980907204,6.164355205961499,,6.396355937640341,5.254589185632275,,,5.387912655131399,3.1502957311080535,,
20120111,,9.775220511523505,9.133022807173408,5.778163625135369,5.578242539472597,,5.826967704505898,4.940071037400767,,,4.688769179403103,3.571588717994709,,
20120112,,9.227817482597187,9.304409556949503,6.042911215750846,5.204399440290087,,5.417207736241511,5.378189391383263,,,4.638282626220405,3.0124690391007047,,
20120113,,8.332279299467068,9.07900051306123,5.5763209170792365,5.2558088454478415,,5.302023169818909,4.932486012599674,,,4.67762501194084,3.1227256571264155,,
20120117,,10.252025045642503,8.134020266812241,6.703584264416865,4.627229405647052,,7.249651292810292,5.179732658959537,,,5.33625730994152,3.23997311225633,,
20120118,,9.241324861083559,7.638955991453817,6.003338614975963,9.528041194444107,,6.173849688953651,5.518417879429432,,,5.12174481955006,3.0885184123213043,,
20120119,,8.808290155440414,8.48557339682468,5.991771089034725,4.448075526506899,,5.041062280632007,5.705255950998252,,,4.722219287614833,2.6930463132508597,,
20120120,,9.098292382980588,8.088904187052837,5.995536898612693,,,5.49645390070922,5.284885632919806,,,,,,
20120123,,9.391915612778917,8.064645814907133,5.739346273415541,5.123656158546756,,6.00616903146206,5.478281281034265,,,5.033847646838808,2.865219682813473,,
20120124,,9.809783375082366,8.317317250977533,5.404403802189869,4.969917589362455,,5.389939881970107,4.767621080087735,,,4.580265068957557,2.43994436455362,,
20120125,,,9.28453301705561,6.129067771142591,5.472404115996258,,6.643753251515952,5.271394485924501,,,5.37063657642988,2.867113627477954,,
20120126,,9.971892989063639,1.2834689576304026,5.573632946742045,4.863471090092445,,5.93958756898054,4.9853837492665445,,,5.095285950047481,2.32207784682688,,
20120127,,9.58905835320993,7.523611510473115,5.285561139687442,4.12596907713197,,5.4923294527254924,4.227135860224086,,,4.21900203418781,1.8865647626709574,,
20120130,,10.007724347484679,8.521320769783598,5.9216706905445085,4.775428482172018,,5.531478832646613,5.033788358095051,,,4.681838733986435,2.8589354804977516,,
20120131,,9.481415576022862,7.233954410502747,5.686533521658629,4.098772814372885,,6.026938875259661,5.027069248794677,,,4.721170373625237,2.807411566535654,,
20120201,,10.266188583446832,8.679698216735254,6.203556620537397,4.727891156462585,,6.2805836139169475,5.03477024925833,,,5.261651681406024,3.136690142081877,,
20120202,,10.273122143133286,7.738467805231836,6.840916834377691,4.098202203750241,,6.750715969015186,5.1978171896316505,,,5.513819117191834,2.6830748227084835,,
20120203,,10.087927876880736,6.139042622008194,7.103581049054852,4.417469925343128,,7.11148557804349,5.044188074979839,,,5.7572727346236885,3.0734137703343536,,
20120206,,8.85341731712567,9.240155036944227,7.211925756214518,4.434573219066421,,5.026418330159771,5.343790766489548,,,5.306400064924274,3.3221340439089384,,
20120207,,8.796030861048536,9.576382939811918,6.50913413200184,3.861362345436274,,4.6305891383611595,4.807784145176695,,,4.968281368767271,2.989100876715905,,
20120208,,9.528570577961258,8.618380642627704,6.454684925279845,4.0669856459330145,,4.481197910435857,4.927831572389087,,,4.645466828745859,2.923910333416442,,
20120209,,9.586842977473513,8.852400686508435,5.885294264713235,3.58612795596795,,4.854602037141353,4.786500721088176,,,5.3566342601842365,2.421347389227475,,
20120210,,10.002523239482223,8.941306099962251,7.063414857456768,3.8721912533762426,,5.506218412686142,5.252314642440489,,,5.433270120245118,2.6167188731914166,,
20120213,,9.475527086565826,8.13997270202852,6.614333397017341,3.9237551481630164,,4.887910369448245,5.009066002092768,,,4.50013755646471,2.795745487022653,,
20120214,,10.028903224649136,8.212132144513735,7.185882680585943,,,6.211872856008246,5.155323689826891,,,4.746745779096318,2.4099156069630006,,
20120215,,7.765820432366085,9.890031701860211,6.109501095996125,5.313167124123209,,5.328131410925477,4.516577184121792,,,4.312406946867434,3.283070725325201,,
20120216,,8.33281696831772,8.109188212399221,6.641215719362655,4.418776220311175,,5.347530641389809,4.4271653130181114,,,4.571357092872728,2.68578460221497,,
20120217,,8.582538852461214,4.6490069589068925,7.49941430672263,5.665828242903341,,5.599272280917101,4.277632016841193,,,4.7799197933251225,0.47160861905407236,,
20120221,,9.2835177369121,7.97114870148578,6.855901969908484,4.692009742384738,,5.247427068018262,4.719719148828308,,,4.549860194083507,2.7023239518860214,,
20120222,,9.194640961319841,7.198943844268802,5.905434002988913,5.429305681805429,,4.847489351949118,4.503592949440918,,,4.563846176205564,2.7189944850583556,,
20120223,,8.870973213175184,7.366866475545131,5.625543780202732,5.223579345582045,,6.231531531531531,4.242650042912173,,,4.656608444629834,2.082474226804124,,
20120224,,9.993149273433104,7.300530989867137,7.709535822264312,5.6141923740440385,,7.066972538363883,4.184466560066188,,,5.2396121935442865,2.33320015980823,,
