Date,Amex,Arca,Bats-Y,Bats-Z,Boston,CHX,Edge-A,Edge-X,NSX,NYSE,Nasdaq,Phlx,MIAX,MEMX
20120103,,103.633780122914,96.38116806159104,62.93796619380706,90.89065499902044,183.85230024213075,120.49679160680859,81.92837257808729,191.1203077170936,,63.81012260454838,80.02712341152242,,
20120104,,128.6312349697966,114.59453945545677,82.14444882715371,111.44240474836508,233.8965256797583,138.9481647871746,110.90816029558769,243.03840480742966,,75.84842564193731,97.26184470652396,,
20120105,,131.23561295207648,122.92734972767063,85.82488073764917,117.26975130698197,185.16583194212578,158.54122556462832,112.13987552717585,246.18960274644434,,77.26563078221228,101.42024110955747,,
20120106,,131.18222532984183,127.886491004992,81.82783522661256,104.48668706267227,248.88507718696397,175.13307406154885,114.40791907341453,256.3572877604967,,77.25875976710326,104.4790012515131,,
20120109,,144.18292932172983,135.92926789783695,92.27665222196443,124.32492076336908,231.58835341365463,197.00587439613525,136.4423631642173,274.2045171727228,,80.8218810186355,127.41139837705228,,
20120110,,126.37641034343582,122.72532545805207,76.19970891938979,98.85762816553428,236.77743484224965,159.18879369431116,105.07042826949905,305.47821848991526,,72.64245152781665,96.65544280442805,,
20120111,,139.2109269020338,130.64558977582234,83.3928069342199,115.40841519146925,313.3611738148984,165.36170185458514,122.04527658687627,331.9979433272395,,76.31343218551865,109.21955869701691,,
20120112,,148.89018381369826,145.35409074577836,86.92417361421296,114.60418386134214,333.0336430631208,176.36992892290868,116.3426496898305,335.3815772294033,,78.31533524319417,115.21076526825861,,
20120113,,144.82112304200803,147.59411694080922,91.04959371135841,138.52928513470997,374.22637066935755,199.25261009590997,122.78773713325803,331.28272341401856,,83.07346439630281,105.41535343652818,,
20120117,,133.4082171163626,115.49200866604767,76.64669379166511,95.55784316916767,331.2113071371291,152.21758637832463,104.51972050428972,249.10750712701932,,78.14886783627877,103.49212671359763,,
20120118,,134.21012401666508,122.38403505916816,80.23253300631211,99.51677879440258,293.8898195876289,166.34967207043616,100.68545550785156,271.7574159525379,,76.20132994413426,106.17006213280358,,
20120119,,124.39107350096712,113.95633839286815,78.64478318087878,95.46195135854076,289.41720516962846,144.00683022524194,99.62708666930303,264.8337490154896,,65.72825525659668,101.78540939966955,,
20120120,,134.0473376686008,127.57879249926437,88.14861753064578,,222.67510893246188,172.03991130820398,114.51111078277829,344.6117205108941,,,,,
20120123,,137.76083420811952,132.86606361978062,89.13929516525114,123.5198337861595,264.26120146033855,170.82052190806226,109.83589417046069,347.71737680622454,,81.61131631610321,115.24717604695901,,
20120124,,165.8216096973005,146.34830128668497,100.68646779888678,115.05575654394552,310.57420421661845,182.17908620564017,122.41377083365754,392.22722929936305,,86.78658243860063,122.63957084863715,,
20120125,,,132.65063990424454,84.94712635662846,113.12615214664626,140.7967826657912,176.92909019486035,114.26525501237832,270.70673790442265,,71.84618461073114,90.08235066116072,,
20120126,,127.17592233365053,126.72302271922182,79.00950682232128,116.03988009742085,199.9294856876891,144.89549559981472,109.50662616416864,313.1313754994033,,68.18554764345009,82.49924366009195,,
20120127,,156.11409375711213,141.753548834595,93.13873739912027,101.27117121232887,260.7778345250255,171.47653749625843,132.58945486439077,360.2351608781508,,80.5239411201583,113.48485096961994,,
20120130,,150.3358790933901,117.79867316988009,85.36260006671114,107.44203698180733,,149.02006779661016,113.27917798098547,363.244021101993,,72.48508623797507,117.68198846021357,,
20120131,,147.41542049081193,144.95804314772087,92.20554190082854,126.24885569742231,184.53533333333334,162.72277623853486,120.93041525101671,460.820216358537,,77.45808347089614,120.03822453302523,,
20120201,,129.39802334729987,117.25216868827218,76.84443475671235,91.40711266713501,357.0330578512397,138.72215941751293,93.98270770343436,362.73538564125363,,72.05656582743616,105.29943974035864,,
20120202,,129.3966509190077,119.71303196071675,82.27106423481361,92.7963851374051,295.3959899749373,135.6511179863779,91.44674893270015,390.60865874363327,,79.37640754950434,104.62513882664692,,
20120203,,115.87804773747763,100.92712810253563,69.38926158995324,75.2393128382373,116.52319464371114,115.90494248880654,90.69575490773799,358.7562855337966,,64.68695463164488,103.34970376334097,,
20120206,,158.6148702396341,125.01722402848738,87.76641091971783,92.34645361211969,252.9934235976789,141.1184757352453,118.94375535723289,482.8263552644071,,85.78592796042966,127.03244554959706,,
20120207,,138.06646454646702,123.56216601732984,78.30205449644673,82.46538579528024,190.991874180865,124.89972231724249,101.23007412238346,464.12639323960076,,73.9065282653287,116.90381898504249,,
20120208,,176.70184964282288,126.47074444640339,83.42278461329134,87.20163876024225,245.84884765040408,128.75109849394133,106.6506952645555,444.9014710636922,,76.76343729315849,122.50484484811693,,
20120209,,160.5648878506563,141.72676441209225,92.73161967137102,104.02075097566212,245.7345088161209,137.84852278903642,119.75073898856986,401.78022585485274,,83.77208048868128,139.56156554451624,,
20120210,,144.06963294148005,117.91400849271173,86.34403708136918,84.13758429384475,211.95078502415458,130.9348570844199,108.4954939613843,373.31705076820305,,78.77119480325496,116.44712369532395,,
20120213,,138.2351521373162,109.02739848853592,84.2604473166417,85.8996719180414,289.90481927710846,112.63669305988232,112.40226366862314,422.94449398127506,,74.09584221570074,124.12598841741843,,
20120214,,139.52508816309236,124.7348284071512,78.78390905453819,,387.61933276304535,120.49929730995838,105.66171617161716,322.12041845971214,,73.65648020157127,132.71234006456325,,
20120215,,154.49047090665087,129.90831805300883,85.60505468446695,105.97200889756726,434.30124835742447,148.05914644809573,123.40459735273315,376.4573339058953,,77.18336492283291,163.22784514471456,,
20120216,,137.94059702042847,125.92337146638934,78.52630509458609,101.70403437629602,396.03307529908517,139.74755237218864,112.89730892961056,342.7932260358089,,73.87242493529492,119.73194421536826,,
